Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem D-01,3,Correct,3
Basic Problem D-02,0,Incorrect,1
Basic Problem D-03,0,Incorrect,3
Basic Problem D-04,0,Incorrect,1
Basic Problem D-05,0,Incorrect,7
Basic Problem D-06,0,Incorrect,1
Basic Problem D-07,0,Incorrect,1
Basic Problem D-08,0,Incorrect,4
Basic Problem D-09,0,Incorrect,3
Basic Problem D-10,0,Incorrect,1
Basic Problem D-11,0,Incorrect,3
Basic Problem D-12,0,Incorrect,3
Basic Problem E-01,0,Incorrect,1
Basic Problem E-02,0,Incorrect,7
Basic Problem E-03,0,Incorrect,2
Basic Problem E-04,0,Incorrect,8
Basic Problem E-05,0,Incorrect,5
Basic Problem E-06,0,Incorrect,8
Basic Problem E-07,0,Incorrect,3
Basic Problem E-08,0,Incorrect,1
Basic Problem E-09,0,Incorrect,7
Basic Problem E-10,0,Incorrect,8
Basic Problem E-11,0,Incorrect,5
Basic Problem E-12,7,Incorrect,6
